3214 70000000
E 179 211
F 161 73
E 288 174
E 258 18
F 136 41
E 198 54
F 263 259
F 138 67
F 200 213
E 131 251
F 200 166
F 301 158
E 121 112
F 266 130
E 273 107
F 289 265
E 171 37
F 177 181
E 185 87
E 195 282
F 292 20
F 146 207
F 211 144
E 309 233
F 226 169
E 296 203
E 157 18
E 287 93
F 270 199
F 160 229
E 255 277
E 268 234
F 283 220
E 182 32
E 193 221
F 226 265
F 301 281
F 223 109
F 127 152
E 239 21
E 278 61
E 224 129
F 172 193
E 302 97
F 146 300
E 161 24
F 310 260
E 149 159
E 216 282
E 188 152
F 236 18
E 120 217
E 145 164
E 128 261
F 248 85
F 159 285
E 257 58
F 288 144
F 245 164
F 275 164
F 278 170
E 281 216
F 196 178
F 236 143
F 159 130
F 146 92
F 233 201
E 254 78
F 141 192
F 230 296
F 283 54
E 302 242
F 240 62
E 308 104
F 303 55
E 279 142
F 275 71
F 134 107
E 252 26
F 170 297
E 267 260
E 142 232
F 256 154
F 309 299
F 168 107
F 173 158
F 301 276
F 167 248
F 134 249
F 190 67
F 231 67
E 270 141
F 303 146
F 246 196
F 121 234
F 188 54
E 141 117
F 235 176
E 274 15
E 272 147
F 182 239
E 296 87
F 201 209
F 233 92
F 261 69
E 148 24
F 290 256
F 173 77
F 244 192
E 202 184
E 123 107
F 139 92
F 155 292
E 236 162
E 216 227
F 231 291
F 220 189
F 135 198
F 168 263
E 185 139
F 151 38
F 137 254
E 138 116
F 158 262
E 244 40
E 285 178
E 151 93
F 270 155
E 173 267
F 160 24
F 262 144
E 261 28
F 220 249
E 168 33
F 288 296
E 201 213
F 176 259
F 298 91
E 139 67
E 227 39
E 174 261
F 141 46
F 281 262
F 182 106
E 210 136
E 157 93
F 227 128
E 133 116
F 231 106
E 217 248
F 208 51
E 264 169
F 209 99
F 129 261
E 255 193
E 168 111
F 198 127
F 281 29
E 241 243
F 233 147
E 304 112
F 169 82
F 150 203
E 174 27
E 163 211
F 234 20
E 221 210
F 170 144
E 207 149
F 238 217
F 188 120
F 172 14
F 127 54
F 264 97
F 262 272
E 265 261
F 171 206
F 243 224
E 267 253
F 151 141
F 197 112
E 255 162
F 143 57
E 158 141
F 299 234
E 257 83
E 165 201
F 138 148
E 221 117
F 270 230
F 227 224
F 278 199
F 239 40
E 197 62
E 269 40
F 175 123
F 135 197
E 201 57
F 191 242
F 276 250
E 263 270
E 142 55
E 167 269
E 182 123
F 296 245
F 268 242
E 181 117
E 176 38
F 169 151
F 206 64
F 188 299
F 234 293
F 220 104
E 228 257
E 289 229
F 176 199
F 296 148
F 125 244
F 171 90
F 131 224
F 308 36
E 194 113
E 136 178
E 156 219
F 265 297
F 189 163
F 218 86
F 132 270
F 278 250
E 196 281
F 211 239
F 270 155
F 153 67
F 271 205
F 208 191
E 173 171
E 203 107
E 170 57
F 162 177
E 145 289
E 198 120
F 173 177
F 289 184
E 146 90
E 235 158
E 297 195
F 209 19
F 233 290
F 178 66
F 235 58
E 165 284
F 144 218
F 262 160
F 125 269
F 226 61
F 212 212
F 155 173
F 176 135
E 125 228
E 164 284
F 158 232
F 207 40
E 142 87
E 184 10
E 227 198
F 221 117
E 142 49
E 184 279
E 130 264
F 301 101
F 141 76
E 149 59
E 198 154
F 145 152
E 134 13
F 152 172
F 120 253
F 278 134
F 203 39
E 199 211
F 224 141
F 137 167
E 155 211
F 155 118
F 145 11
F 243 75
E 233 71
E 276 230
E 167 181
F 247 251
E 170 211
E 121 60
F 136 259
E 197 73
F 174 166
E 237 195
F 281 37
F 229 256
F 184 120
F 160 177
E 203 42
F 186 129
E 252 148
F 199 184
E 199 36
F 245 15
F 191 94
F 307 271
F 270 170
F 235 146
F 161 152
F 201 33
F 266 22
E 282 152
E 259 228
F 266 286
F 140 205
F 244 103
F 289 187
E 221 94
E 170 10
E 163 210
E 157 283
F 231 260
F 158 296
E 135 262
E 170 266
E 303 20
F 283 209
F 157 260
E 184 54
F 157 46
E 202 73
F 226 286
E 257 148
E 232 246
F 137 288
E 228 23
E 310 236
F 206 49
F 188 200
E 216 79
F 228 105
F 215 227
F 272 145
E 124 176
E 295 199
F 163 97
F 178 67
E 253 51
F 162 31
F 152 84
F 231 13
F 176 58
F 208 39
E 133 246
F 256 109
E 151 54
E 296 72
E 264 166
F 148 276
E 146 102
F 306 293
F 298 284
E 241 293
F 239 18
F 193 188
E 203 253
E 219 297
F 248 19
F 183 243
F 205 239
F 152 179
E 265 105
E 126 66
F 272 12
F 159 13
F 178 126
F 144 137
E 130 117
E 235 188
E 270 122
F 238 42
F 268 178
F 170 37
E 219 122
E 180 287
F 189 261
E 189 37
F 303 104
F 144 84
E 225 161
F 197 115
E 239 270
F 261 151
F 132 50
F 129 290
F 220 223
E 156 255
F 280 51
F 282 282
E 199 186
E 189 149
E 288 219
E 308 95
E 232 233
F 199 92
F 233 218
E 164 116
F 253 205
F 311 194
F 192 233
F 257 69
F 234 165
F 281 122
F 286 266
E 301 38
F 158 129
E 195 219
F 145 237
E 201 73
E 287 67
E 287 300
E 167 209
E 246 55
E 244 174
F 173 214
F 150 195
F 247 264
E 221 220
F 179 235
E 292 165
E 153 26
F 158 117
F 206 85
E 259 115
E 272 49
F 130 190
E 218 299
E 243 12
F 226 198
E 197 130
E 281 73
F 186 251
F 207 246
F 136 144
F 203 294
E 138 23
F 234 43
E 267 209
E 289 226
E 236 14
E 278 65
F 177 88
F 261 145
F 170 259
F 158 59
E 197 57
E 195 270
E 168 27
E 268 287
E 137 147
F 264 102
E 160 18
F 288 206
F 207 46
F 248 44
F 135 166
F 239 187
F 217 132
F 129 160
E 237 84
E 278 200
F 180 206
F 227 15
E 298 103
E 226 187
E 226 40
E 220 63
F 192 221
F 290 240
F 221 74
F 253 117
F 310 223
E 287 134
F 154 290
E 248 250
F 146 41
F 169 144
F 201 276
F 306 280
E 301 229
E 270 221
E 131 94
F 245 16
E 186 68
F 205 112
F 244 228
E 273 169
E 129 282
F 241 204
F 125 99
E 243 42
E 135 82
F 179 87
F 162 49
F 194 280
F 176 264
F 240 122
E 201 139
F 264 29
E 243 49
E 280 163
E 248 278
F 137 41
F 146 57
F 165 88
E 197 168
F 192 131
E 155 129
F 258 199
E 284 48
E 206 95
F 159 74
F 311 164
E 293 223
F 186 52
E 233 180
F 309 55
E 217 90
F 218 147
F 211 148
F 283 78
E 187 122
F 285 94
F 261 93
E 289 202
F 136 297
F 142 108
F 306 239
F 145 134
F 288 101
E 289 55
E 303 256
F 246 219
F 137 212
F 229 291
F 193 211
E 150 50
F 159 44
F 134 151
E 211 197
E 257 143
F 285 176
E 142 259
E 213 10
E 241 120
F 208 285
E 145 121
E 239 233
E 247 289
E 142 215
E 267 193
E 223 156
E 217 220
E 236 211
F 133 133
E 194 188
E 130 133
E 243 118
F 292 256
F 248 100
F 172 31
F 222 268
F 177 126
F 143 120
F 291 147
E 123 290
F 163 271
F 277 260
F 228 296
F 163 23
F 302 164
F 144 240
E 209 112
F 307 148
E 255 206
E 274 232
F 137 238
F 214 205
F 127 121
F 160 45
F 189 284
F 225 98
F 174 225
E 300 118
E 149 33
F 157 270
F 149 209
F 199 23
F 304 73
F 304 48
E 147 200
F 262 145
E 242 260
F 272 160
E 204 147
E 136 166
E 259 248
F 242 142
F 228 239
F 203 260
F 203 189
F 192 187
E 132 125
F 157 115
F 246 14
E 123 42
F 310 127
F 271 283
F 234 134
E 216 182
F 299 237
E 184 131
F 190 252
F 186 168
E 219 140
F 179 148
E 154 139
F 221 13
E 131 120
F 208 174
F 181 175
F 124 299
F 158 257
E 270 298
E 190 210
F 216 276
F 175 164
E 207 296
E 161 54
F 176 261
F 306 38
E 268 40
E 222 182
F 158 277
F 234 54
E 240 287
F 171 142
E 168 16
F 239 171
F 246 189
F 176 161
F 157 203
F 210 20
E 289 63
E 151 284
F 261 115
E 251 14
E 219 245
F 248 173
E 152 149
F 133 13
F 276 79
F 223 126
E 165 207
F 128 94
F 162 90
E 220 94
F 255 262
E 126 259
F 220 133
E 290 179
E 281 276
E 278 115
E 258 266
E 186 276
E 213 36
F 222 62
E 198 96
F 264 294
F 155 26
F 260 290
F 300 53
F 237 218
E 258 89
F 264 291
E 183 77
E 224 132
E 303 247
F 126 110
F 303 80
F 261 167
F 142 21
E 191 85
E 126 63
F 145 154
E 137 210
F 163 48
E 147 64
F 166 54
F 239 131
E 274 140
E 307 247
F 219 69
F 133 123
F 140 235
E 160 225
F 239 41
F 267 151
E 147 101
F 201 280
F 216 68
F 302 61
F 135 103
E 250 294
F 306 256
F 188 179
E 226 67
F 186 11
E 125 28
E 204 53
F 135 179
E 163 69
E 281 294
E 224 300
E 152 55
F 297 125
F 170 176
F 306 111
F 306 119
E 133 216
F 125 271
F 252 66
E 257 277
E 150 297
F 248 118
E 197 81
E 191 50
F 282 295
F 189 33
F 174 11
F 162 32
F 243 225
F 219 186
E 268 22
F 266 224
F 243 215
F 147 295
F 301 294
E 235 285
E 188 137
F 305 117
E 305 182
F 217 237
F 275 36
F 161 63
F 308 282
E 211 57
F 174 73
E 292 110
F 272 272
F 209 13
F 181 27
E 121 240
E 164 132
F 280 93
E 173 26
E 203 123
F 120 46
F 300 182
E 129 14
E 173 262
E 266 22
